Name,Duration,Artist,Album,Gender/Type,Liked,Times played
Hooting & Howling (Live at Rak),278,Wild Beasts,Last Night All My Dreams Came True (Live at Rak),Alternative,2,46
Big Cat (Live at Rak),200,Wild Beasts,Last Night All My Dreams Came True (Live at Rak),Alternative,2,43
2Bu (Live at Rak),262,Wild Beasts,Last Night All My Dreams Came True (Live at Rak),Alternative,2,41
Bed of Nails (Live at Rak),249,Wild Beasts,Last Night All My Dreams Came True (Live at Rak),Alternative,0,39
Wanderlust (Live at Rak),292,Wild Beasts,Last Night All My Dreams Came True (Live at Rak),Alternative,2,38
Lonely Boy,193,The Black Keys,El Camino,Alternative,2,35
This Is Our Lot (Live at Rak),266,Wild Beasts,Last Night All My Dreams Came True (Live at Rak),Alternative,0,34
Time Waits For No One,203,Freddie Mercury,Time Waits For No One - Single,Rock,0,33
A Simple Beautiful Truth (Live at Rak),149,Wild Beasts,Last Night All My Dreams Came True (Live at Rak),Alternative,0,30
Change,220,Sir Sly,"Don't You Worry, Honey",Alternative,0,27
Time to Move On,194,Tom Petty,Wildflowers,Rock,0,27
Rose2,221,Allan Rayman,Harry Hard-On,Alternative,0,26
Black Coffee,257,Beth Hart & Joe Bonamassa,Black Coffee,Blues,2,26
You Don't Know How It Feels,288,Tom Petty,Wildflowers,Rock,0,26
Agresiv,172,Alexandru Andries,Vreme Rea,Singer/Songwriter,2,25
Boy On a Dolphin,132,Julie London,Emi Presents the Magic of Julie London,Pop,0,25
Gimme Shelter,271,The Rolling Stones,Let It Bleed (Remastered),Rock,2,25
The Devil's Palace (Live at Rak),223,Wild Beasts,Last Night All My Dreams Came True (Live at Rak),Alternative,0,25
High,232,Sir Sly,"Don't You Worry, Honey",Alternative,2,24
All the King's Men (Live at Rak),240,Wild Beasts,Last Night All My Dreams Came True (Live at Rak),Alternative,0,24
Second Time Around,182,Julie London,Emi Presents the Magic of Julie London,Pop,0,23
Have a Cigar,308,Pink Floyd,Wish You Were Here,Rock,2,23
Song For You,239,Rhye,Blood,Electronic,0,23
Live with Me,213,The Rolling Stones,Let It Bleed (Remastered),Rock,2,23
You Can't Always Get What You Want,448,The Rolling Stones,Let It Bleed (Remastered),Rock,2,23
Astronaut,224,Sir Sly,"Don't You Worry, Honey",Alternative,2,23
Trippin',224,Sir Sly,"Don't You Worry, Honey",Alternative,0,23
Only a Broken Heart,268,Tom Petty,Wildflowers,Rock,0,23
Hard On Me,227,Tom Petty,Wildflowers,Rock,0,23
He the Colossus (Live at Rak),264,Wild Beasts,Last Night All My Dreams Came True (Live at Rak),Alternative,0,23
Alpha Female (Live at Rak),226,Wild Beasts,Last Night All My Dreams Came True (Live at Rak),Alternative,0,23
Get My Bang (Live at Rak),215,Wild Beasts,Last Night All My Dreams Came True (Live at Rak),Alternative,0,23
Addicted,220,Beth Hart & Joe Bonamassa,Black Coffee,Blues,0,22
Broken Hearted Melody,140,Julie London,Emi Presents the Magic of Julie London,Pop,0,22
Love In Vain,259,The Rolling Stones,Let It Bleed (Remastered),Rock,0,22
Altar,222,Sir Sly,"Don't You Worry, Honey",Alternative,0,22
Headfirst,213,Sir Sly,"Don't You Worry, Honey",Alternative,0,22
House In the Woods,330,Tom Petty,Wildflowers,Rock,0,22
3WW,300,alt-J,RELAXER,Alternative,0,21
Money Maker,177,The Black Keys,El Camino,Alternative,0,21
Cry Me a River,171,Julie London,Emi Presents the Magic of Julie London,Pop,0,21
Must Be Catchin',128,Julie London,Emi Presents the Magic of Julie London,Pop,0,21
Gold For the Price of Silver (Collaboration),293,Kings of Convenience,Versus,Rock,2,21
What's Happening Brother,164,Marvin Gaye,What's Going On,R&B/Soul,2,21
Fara Raspuns,197,Nicu Alifantis & Zan,Nichita,Rock,0,21
Waiting On a Friend,274,The Rolling Stones,Tattoo You,Rock,0,21
2:00 AM,213,Sir Sly,"Don't You Worry, Honey",Alternative,0,21
It's Good to Be King,308,Tom Petty,Wildflowers,Rock,0,21
Wake Up Time,318,Tom Petty,Wildflowers,Rock,2,21
Great Ones,36,Bas,Milky Way,Hip-Hop/Rap,0,20
"Peer Gynt, Op. 23: No. 13. Morning mood",251,Gothenburg Symphony Orchestra & Neeme Järvi,"Grieg: Peer Gynt, Sigurd Jorsalfar",Classical,0,20
When Snowflakes Fall in the Summer,111,Julie London,Emi Presents the Magic of Julie London,Pop,0,20
how do you sleep?,552,LCD Soundsystem,american dream,Electronic,2,20
Ce Bine Ca Esti,237,Nicu Alifantis & Zan,Nichita,Rock,0,20
Always,403,Peder B. Helland,Bright Future,New Age,0,20
Phoenix,275,Rhye,Blood,Electronic,0,20
Final,149,byron,30 De Secunde De Faimă,Rock,0,19
call the police,419,LCD Soundsystem,american dream,Electronic,2,19
Real Love,258,Lo Moon,Lo Moon,Alternative,0,19
Taste,226,Rhye,Blood,Electronic,0,19
Cabin Down Below,171,Tom Petty,Wildflowers,Rock,0,19
To Find a Friend,202,Tom Petty,Wildflowers,Rock,0,19
Celestial Creatures (Live at Rak),292,Wild Beasts,Last Night All My Dreams Came True (Live at Rak),Alternative,0,19
I Finally Found Someone (feat. Bryan Adams),223,Barbra Streisand,Duets,Pop,0,18
Hell of a Season,225,The Black Keys,El Camino,Alternative,0,18
Lily Was Here,323,Candy Dulfer,Candy Dulfer Live In Amsterdam,Rock,0,18
You Make Loving Fun,212,Fleetwood Mac,Greatest Hits,Rock,2,18
B Movie,732,Gil Scott-Heron,Reflections,R&B/Soul,2,18
Saddle the Wind,130,Julie London,Emi Presents the Magic of Julie London,Pop,0,18
I'm Coming Back to You,142,Julie London,Emi Presents the Magic of Julie London,Pop,0,18
Breed,184,Nirvana,Nevermind,Rock,2,18
Seven Seas of Rhye,168,Queen,The Platinum Collection,Rock,0,18
Beast of Burden,210,The Rolling Stones,Sucking In the Seventies,Rock,0,18
&Run,227,Sir Sly,"Don't You Worry, Honey",Alternative,0,18
Fun,233,Sir Sly,"Don't You Worry, Honey",Alternative,0,18
You Wreck Me,202,Tom Petty,Wildflowers,Rock,0,18
Don't Fade On Me,211,Tom Petty,Wildflowers,Rock,0,18
Missuula,125,The Wave Pictures,City Forgiveness,Alternative,0,18
Culori,228,Alexandru Andries,Vreme Rea,Singer/Songwriter,0,17
If You Ever Leave Me (feat. Vince Gill),277,Barbra Streisand,Duets,Pop,0,17
Get Happy/Happy Days Are Here Again (feat. Judy Garland),140,Barbra Streisand,Duets,Pop,0,17
Tell Him,293,Barbra Streisand & Céline Dion,Duets,Pop,0,17
Lost Inside of You,174,Barbra Streisand & Kris Kristofferson,Duets,Pop,0,17
Give It Everything You Got,278,Beth Hart & Joe Bonamassa,Black Coffee,Blues,0,17
Lullaby of the Leaves,345,Beth Hart & Joe Bonamassa,Black Coffee,Blues,0,17
Sitting On Top of the World,239,Beth Hart & Joe Bonamassa,Black Coffee,Blues,0,17
Dead and Gone,221,The Black Keys,El Camino,Alternative,0,17
Little Black Submarines,251,The Black Keys,El Camino,Alternative,2,17
Starwatcher,159,The Decemberists,I'll Be Your Girl,Alternative,0,17
Everything Is Awful,203,The Decemberists,I'll Be Your Girl,Alternative,2,17
Nice Work If You Can Get It,214,Ella Fitzgerald,Ella Fitzgerald Sings the George and Ira Gershwin Song Book,Jazz,0,17
In the Wee Small Hours of the Morning (feat. Nelson Riddle and His Orchestra),178,Frank Sinatra,In the Wee Small Hours (feat. Nelson Riddle and His Orchestra) [Mono Version] - EP,Pop,0,17
Love Letters,172,Julie London,Emi Presents the Magic of Julie London,Pop,0,17
Besame Mucho,129,Julie London,Emi Presents the Magic of Julie London,Pop,0,17
Dream Machine (Downtempo Mix),368,Mark Farina,Air Farina,Electronica,2,17
What's Going On,233,Marvin Gaye,What's Going On,R&B/Soul,0,17
Keep in Mind,246,Michelle Gurevich,Show Me the Face,Singer/Songwriter,0,17
Bottom of the Deep Blue Sea,232,MISSIO,Loner,Alternative,1,17
Senza un perché,165,Nada,Tutto l'amore che mi manca,Rock,0,17
Ceremony,278,New Order,Total,Alternative,0,17
De Dragoste,295,Nicu Alifantis & Zan,Nichita,Rock,0,17
Ingerul Blond,298,Nicu Alifantis & Zan,Nichita,Rock,0,17
Emotional Rescue (Remastered),339,The Rolling Stones,Emotional Rescue (Remastered),Rock,2,17
Country Honk,188,The Rolling Stones,Let It Bleed (Remastered),Rock,0,17
You Got the Silver,171,The Rolling Stones,Let It Bleed (Remastered),Rock,0,17
Contrail,225,3TM,Lake,Jazz,0,17
Supereroi,210,Andra,Supereroi - Single,Pop,0,16
Lady Madonna,139,The Beatles,The Beatles 1967-1970 (The Blue Album),Rock,0,16
Damn Your Eyes,274,Beth Hart & Joe Bonamassa,Black Coffee,Blues,0,16
Why Don't You Do Right,276,Beth Hart & Joe Bonamassa,Black Coffee,Blues,0,16
Gold On the Ceiling,224,The Black Keys,El Camino,Alternative,0,16
Johnny 99,223,Bruce Springsteen,Nebraska,Rock,0,16
Balet Nebunesc,201,byron,30 De Secunde De Faimă,Rock,0,16
Tummo,240,byron,30 De Secunde De Faimă,Rock,0,16
În Jurul Cozii,359,byron,30 De Secunde De Faimă,Rock,0,16
Severed,244,The Decemberists,I'll Be Your Girl,Alternative,0,16
